https://epg.112114.xyz/pp.xml" catchup="append" catchup-source="?playseek=${(b)yyyyMMddHHmmss}-${(e)yyyyMMddHHmmss}",#🐼 iPanda频道
iPanda 1,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao06_2/index.m3u8
iPanda 2,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao07_2/index.m3u8
iPanda 3,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao08_2/index.m3u8
iPanda 4,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao09_2/index.m3u8
iPanda 5,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao10_2/index.m3u8
iPanda 6,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao11_2/index.m3u8
iPanda 7,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao12_2/index.m3u8
iPanda 8,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao13_2/index.m3u8
iPanda 9,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao14_2/index.m3u8
iPanda 10,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao15_2/index.m3u8
iPanda 11,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao16_2/index.m3u8
iPanda 12,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao18_2/index.m3u8
iPanda 13,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao20_2/index.m3u8
CCTV1 综合,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226559/index.m3u8
CCTV2 财经,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8
CCTV3 综艺,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV4 中文国际,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
