中央台,#genre#
CCTV-1综合,http://61.136.96.78:880/1.m3u8
CCTV-2财经,http://61.136.96.78:880/2.m3u8
CCTV-3综艺,http://61.136.96.78:880/3.m3u8
CCTV-4中文国际,http://61.136.96.78:880/4.m3u8
CCTV-5体育,http://61.136.96.78:880/5.m3u8
CCTV-5+体育赛事,http://61.136.96.78:880/16.m3u8
CCTV-6电影,http://61.136.96.78:880/6.m3u8
CCTV-7国防军事,http://61.136.96.78:880/7.m3u8
CCTV-8电视剧,http://61.136.96.78:880/8.m3u8
CCTV-9纪录,http://61.136.96.78:880/9.m3u8
CCTV-10科教,http://61.136.96.78:880/10.m3u8
CCTV-11戏曲,http://61.136.96.78:880/11.m3u8
CCTV-12社会与法,http://61.136.96.78:880/12.m3u8
CCTV-13新闻,http://61.136.96.78:880/13.m3u8
CCTV-14少儿,http://61.136.96.78:880/14.m3u8
CCTV-15音乐,http://61.136.96.78:880/15.m3u8
CCTV-17农业农村,http://61.136.96.78:880/17.m3u8

卫视台,#genre#
东方卫视,http://61.136.96.78:880/22.m3u8
浙江卫视,http://61.136.96.78:880/20.m3u8
湖南卫视,http://61.136.96.78:880/18.m3u8
江苏卫视,http://61.136.96.78:880/19.m3u8
北京卫视,http://61.136.96.78:880/21.m3u8
广东卫视,http://61.136.96.78:880/36.m3u8
深圳卫视,http://61.136.96.78:880/26.m3u8
黑龙江卫视,http://61.136.96.78:880/30.m3u8
山东卫视,http://61.136.96.78:880/24.m3u8
湖北卫视,http://61.136.96.78:880/28.m3u8
安徽卫视,http://61.136.96.78:880/25.m3u8
东南卫视,http://61.136.96.78:880/34.m3u8
江西卫视,http://61.136.96.78:880/27.m3u8
辽宁卫视,http://61.136.96.78:880/33.m3u8
天津卫视,http://61.136.96.78:880/23.m3u8
贵州卫视,http://61.136.96.78:880/32.m3u8
河北卫视,http://61.136.96.78:880/38.m3u8
重庆卫视,http://61.136.96.78:880/35.m3u8
吉林卫视,http://61.136.96.78:880/40.m3u8
四川卫视,http://61.136.96.78:880/29.m3u8
海南卫视,http://61.136.96.78:880/39.m3u8
云南卫视,http://61.136.96.78:880/31.m3u8

获嘉台,#genre#
获嘉电视台,http://tvpull.dxhmt.cn:9081/tv/10724-1.m3u8

河南台,#genre#
河南卫视,http://61.136.96.78:880/66.m3u8
河南都市,http://61.136.96.78:880/67.m3u8
河南民生,http://61.136.96.78:880/68.m3u8
河南法治,http://61.136.96.78:880/69.m3u8
河南电视剧,http://61.136.96.78:880/70.m3u8
河南新闻,http://61.136.96.78:880/71.m3u8
河南公共,http://61.136.96.78:880/73.m3u8
河南乡村,http://61.136.96.78:880/74.m3u8
河南戏曲,http://61.136.96.78:880/84.m3u8
河南收藏天下,http://61.136.96.78:880/85.m3u8
河南国际,http://61.136.96.78:880/75.m3u8
睛彩中原,http://61.136.96.78:880/61.m3u8
中华功夫,http://61.136.96.78:880/86.m3u8

地方台,#genre#
郑州1新闻综合,http://61.136.96.78:880/76.m3u8
郑州2商都频道,http://61.136.96.78:880/77.m3u8
郑州3文体旅游,http://61.136.96.78:880/78.m3u8
郑州4影视戏曲,http://61.136.96.78:880/79.m3u8
郑州5妇女儿童,http://61.136.96.78:880/80.m3u8
郑州6都市生活,http://61.136.96.78:880/81.m3u8
洛阳-1新闻,http://61.136.96.78:880/105.m3u8
洛阳-2科教,http://61.136.96.78:880/103.m3u8
洛阳-3文旅,http://61.136.96.78:880/104.m3u8
巩义综合,http://61.136.96.78:880/59.m3u8
新密综合,http://61.136.96.78:880/82.m3u8
新郑综合,http://61.136.96.78:880/89.m3u8
沈丘新闻综合[768*576],http://61.136.96.78:880/60.m3u8
快乐垂钓,http://61.136.96.78:880/88.m3u8

其他频道,#genre#
CETV1,http://61.136.96.78:880/52.m3u8
CHC家庭影院,http://61.136.96.78:880/62.m3u8
CHC动作电影,http://61.136.96.78:880/63.m3u8
CHC高清电影,http://61.136.96.78:880/64.m3u8
纪实人文,http://61.136.96.78:880/95.m3u8
金鹰纪实,http://61.136.96.78:880/55.m3u8
动漫秀场,http://61.136.96.78:880/90.m3u8
游戏风云,http://61.136.96.78:880/91.m3u8
都市剧场,http://61.136.96.78:880/92.m3u8
国学频道,http://61.136.96.78:880/87.m3u8
金色学堂,http://61.136.96.78:880/96.m3u8
魅力足球,http://61.136.96.78:880/97.m3u8
书画,http://61.136.96.78:880/93.m3u8
